Issue Type,Issue Key,Summary,Description,Acceptance Criteria,Epic Key,Epic Name,Priority,Story Points,Sprint,Release,Component,Labels,Depends On,Blocks
Epic,EPIC-00,Discovery & Design-Partner Validation,"Find out whether anyone will pay, before the expensive engineering starts.",,,Discovery & Design-Partner Validation,P0,32,,R0,GTM,epic,,
Epic,EPIC-01,Platform Foundation & Developer Experience,"A boring, fast, well-instrumented base every other epic builds on.",,,Platform Foundation & Developer Experience,P0,31,,R0,Platform,epic,,
Epic,EPIC-02,"Identity, Tenancy & Access Control","Multi-tenant isolation and per-plant RBAC that is proven, not assumed.",,,"Identity, Tenancy & Access Control",P0,49,,R0,Security,epic,,
Epic,EPIC-03,"Plant, Asset & Taxonomy Master Data",The asset hierarchy and vocabulary every record resolves against.,,,"Plant, Asset & Taxonomy Master Data",P0,27,,R1,Domain,epic,,
Epic,EPIC-04,Maintenance Record Core & Provenance,"The system of record, with an immutable chain back to the original raw row.",,,Maintenance Record Core & Provenance,P0,26,,R1,Domain,epic,,
Epic,EPIC-05,Ingestion Pipeline,"Files in any shape become verbatim raw records, safely and resumably.",,,Ingestion Pipeline,P0,45,,R1,Ingestion,epic,,
Epic,EPIC-06,Generative Extraction & Normalisation,Turn Hinglish shorthand into structured fields with calibrated confidence.,,,Generative Extraction & Normalisation,P0,44,,R1,AI,epic,,
Epic,EPIC-07,Entity Resolution & Alias Learning,"""Conv Motor-3"" resolves to a real asset, and the system never asks twice.",,,Entity Resolution & Alias Learning,P0,34,,R1,AI,epic,,
Epic,EPIC-08,Human-in-the-Loop Validation Workbench,"Make reviewing 200 uncertain rows a 20-minute job, not a 2-day job.",,,Human-in-the-Loop Validation Workbench,P0,35,,R1,Product,epic,,
Epic,EPIC-09,Hybrid Search & Retrieval,"Find the right records from shorthand, Hindi, Marathi or English.",,,Hybrid Search & Retrieval,P0,34,,R2,AI,epic,,
Epic,EPIC-10,Deterministic Analytics & KPI Engine,"Every number in the product, computed in SQL and reproducible forever.",,,Deterministic Analytics & KPI Engine,P0,31,,R2,Domain,epic,,
Epic,EPIC-11,Agent Runtime & Tool Platform,"The planner, tool registry, budgets, memory and traces all agents share.",,,Agent Runtime & Tool Platform,P0,59,,R2,AI-Platform,epic,,
Epic,EPIC-12,Reliability Copilot,Multi-step investigation that answers 'why does this keep happening?'.,,,Reliability Copilot,P0,44,,R2,AI,epic,,
